Target,RA,DEC,Sp. Type,T_eff [K],V [mag],G [mag],Data product plots,Pre-upgrade DRS,Post-upgrade DRS,Pre-upgrade standard SERVAL,Post-upgrade standard SERVAL,Pre-upgrade mlc SERVAL (use these),Post-upgrade mlc SERVAL(use these),RA_deg,DEC_deg
HD57240,07:18:33.5127,-39:12:37.020,A0V,9319.0,5.2,5.2,HD57240_plots.pdf,HD57240_harps_pre-drs.vels,,HD57240_harps_pre-serval.vels,,HD57240_harps_pre_serval-mlc.vels,,109.63963624999998,-39.21028333333334
HD5737,00:58:36.3593,-29:21:26.824,B7IIIp,8868.7,4.3,4.3,HD5737_plots.pdf,HD5737_harps_pre-drs.vels,,HD5737_harps_pre-serval.vels,,HD5737_harps_pre_serval-mlc.vels,,14.651497083333332,-29.357451111111114
HD57568,07:21:22.6839,-12:38:14.053,K3V,,10.0,9.6,HD57568_plots.pdf,HD57568_harps_pre-drs.vels,,HD57568_harps_pre-serval.vels,,HD57568_harps_pre_serval-mlc.vels,,110.34451624999998,-12.637236944444444
HD58489,07:24:04.6088,-40:02:45.840,K3.5V,4748.0,9.7,9.4,HD58489_plots.pdf,HD58489_harps_pre-drs.vels,HD58489_harps_post-drs.vels,HD58489_harps_pre-serval.vels,HD58489_harps_post-serval.vels,HD58489_harps_pre_serval-mlc.vels,HD58489_harps_post_serval-mlc.vels,111.01920333333332,-40.04606666666667
HD58676,07:24:57.1595,-38:21:07.102,K1/2(V),5047.3,9.4,9.2,HD58676_plots.pdf,HD58676_harps_pre-drs.vels,HD58676_harps_post-drs.vels,HD58676_harps_pre-serval.vels,HD58676_harps_post-serval.vels,HD58676_harps_pre_serval-mlc.vels,HD58676_harps_post_serval-mlc.vels,111.23816458333333,-38.35197277777778
HD5891,01:00:33.1924,+20:17:32.951,G5,4870.1,8.1,7.8,HD5891_plots.pdf,,HD5891_harps_post-drs.vels,,HD5891_harps_post-serval.vels,,HD5891_harps_post_serval-mlc.vels,15.138301666666667,20.29248638888889
HD58972,07:28:09.7930,+08:55:31.907,K3-IIIFe-0.5,4019.2,4.3,3.7,HD58972_plots.pdf,,HD58972_harps_post-drs.vels,,HD58972_harps_post-serval.vels,,HD58972_harps_post_serval-mlc.vels,112.04080416666666,8.925529722222223
HD59088,07:29:10.7669,+20:54:42.478,O6f,8868.7,9.7,10.7,HD59088_plots.pdf,HD59088_harps_pre-drs.vels,,HD59088_harps_pre-serval.vels,,HD59088_harps_pre_serval-mlc.vels,,112.29486208333331,20.911799444444444
HD59219,07:26:21.8502,-51:01:06.528,K0III,4834.0,5.1,4.8,HD59219_plots.pdf,HD59219_harps_pre-drs.vels,,HD59219_harps_pre-serval.vels,,HD59219_harps_pre_serval-mlc.vels,,111.59104249999999,-51.01848
HD5938,00:59:56.9549,-57:42:03.400,G6IV/V,5454.0,9.2,9.1,HD5938_plots.pdf,,HD5938_harps_post-drs.vels,,HD5938_harps_post-serval.vels,,HD5938_harps_post_serval-mlc.vels,14.98731208333333,-57.700944444444445
HD59435,07:29:35.4522,-09:15:33.315,A6IIIpSr,6211.5,7.9,7.8,HD59435_plots.pdf,HD59435_harps_pre-drs.vels,,HD59435_harps_pre-serval.vels,,HD59435_harps_pre_serval-mlc.vels,,112.3977175,-9.259254166666667
HD59711A,07:30:40.0131,-15:59:40.505,G2V,5734.0,7.7,7.6,HD59711A_plots.pdf,HD59711A_harps_pre-drs.vels,HD59711A_harps_post-drs.vels,HD59711A_harps_pre-serval.vels,HD59711A_harps_post-serval.vels,HD59711A_harps_pre_serval-mlc.vels,HD59711A_harps_post_serval-mlc.vels,112.66672124999998,-15.994584722222221
HD60060,07:29:59.7230,-52:39:04.164,K0III,4839.8,5.9,5.6,HD60060_plots.pdf,HD60060_harps_pre-drs.vels,,HD60060_harps_pre-serval.vels,,HD60060_harps_pre_serval-mlc.vels,,112.49884583333332,-52.651156666666665
HD60435,07:30:56.9889,-57:59:28.237,ApSr(Eu),7860.0,8.9,8.9,HD60435_plots.pdf,HD60435_harps_pre-drs.vels,,HD60435_harps_pre-serval.vels,,HD60435_harps_pre_serval-mlc.vels,,112.73745374999999,-57.99117694444445
HD60574,07:33:13.3248,-43:05:10.316,G8III,5073.5,6.5,6.3,HD60574_plots.pdf,HD60574_harps_pre-drs.vels,,HD60574_harps_pre-serval.vels,,HD60574_harps_pre_serval-mlc.vels,,113.30551999999997,-43.086198888888894
HD60584,07:34:18.6176,-23:28:25.194,F5V,6544.1,5.8,5.7,HD60584_plots.pdf,HD60584_harps_pre-drs.vels,,HD60584_harps_pre-serval.vels,,HD60584_harps_pre_serval-mlc.vels,,113.5775733333333,-23.473664999999997
HD60629,07:34:28.8413,-26:07:00.668,A0V,9654.0,6.7,6.6,HD60629_plots.pdf,HD60629_harps_pre-drs.vels,,HD60629_harps_pre-serval.vels,,HD60629_harps_pre_serval-mlc.vels,,113.62017208333332,-26.116852222222224
HD61005,07:35:47.4624,-32:12:14.042,G8Vk,5507.0,8.2,8.0,HD61005_plots.pdf,HD61005_harps_pre-drs.vels,HD61005_harps_post-drs.vels,HD61005_harps_pre-serval.vels,HD61005_harps_post-serval.vels,HD61005_harps_pre_serval-mlc.vels,HD61005_harps_post_serval-mlc.vels,113.94775999999997,-32.203900555555556
HD61051,07:35:56.1641,-32:50:29.104,G8V,5417.2,8.9,8.7,HD61051_plots.pdf,HD61051_harps_pre-drs.vels,HD61051_harps_post-drs.vels,HD61051_harps_pre-serval.vels,HD61051_harps_post-serval.vels,HD61051_harps_pre_serval-mlc.vels,HD61051_harps_post_serval-mlc.vels,113.98401708333331,-32.84141777777778
HD6107,01:01:19.0336,-60:51:36.532,G1/2V,5719.3,6.9,6.7,HD6107_plots.pdf,,HD6107_harps_post-drs.vels,,HD6107_harps_post-serval.vels,,HD6107_harps_post_serval-mlc.vels,15.329306666666662,-60.860147777777776
HD61383,07:38:51.3397,-05:27:55.962,G3V,,7.6,7.4,HD61383_plots.pdf,HD61383_harps_pre-drs.vels,HD61383_harps_post-drs.vels,HD61383_harps_pre-serval.vels,HD61383_harps_post-serval.vels,HD61383_harps_pre_serval-mlc.vels,HD61383_harps_post_serval-mlc.vels,114.71391541666665,-5.4655450000000005
HD61447,07:38:17.3087,-27:08:43.889,G5IV/V,5643.0,8.4,8.2,HD61447_plots.pdf,HD61447_harps_pre-drs.vels,,HD61447_harps_pre-serval.vels,,HD61447_harps_pre_serval-mlc.vels,,114.57211958333332,-27.145524722222223
HD61475,07:34:44.3872,-66:38:36.619,K1IV,5330.0,8.7,8.6,HD61475_plots.pdf,HD61475_harps_pre-drs.vels,,HD61475_harps_pre-serval.vels,,HD61475_harps_pre_serval-mlc.vels,,113.68494666666665,-66.64350527777779
HD61772,07:40:23.2106,-15:15:50.108,K3III,3974.0,5.0,4.3,HD61772_plots.pdf,HD61772_harps_pre-drs.vels,,HD61772_harps_pre-serval.vels,,HD61772_harps_pre_serval-mlc.vels,,115.09671083333332,-15.263918888888888
HD61902,07:38:53.6547,-51:05:00.089,F5/6wF2,6105.2,8.2,8.1,HD61902_plots.pdf,HD61902_harps_pre-drs.vels,,HD61902_harps_pre-serval.vels,,HD61902_harps_pre_serval-mlc.vels,,114.72356124999999,-51.08335805555556
HD6192,01:02:01.8203,-57:00:08.596,G8/K0III,5087.4,6.1,5.9,HD6192_plots.pdf,HD6192_harps_pre-drs.vels,,HD6192_harps_pre-serval.vels,,HD6192_harps_pre_serval-mlc.vels,,15.507584583333333,-57.00238777777778
HD61935,07:41:14.8325,-09:33:04.071,G9.5III-IIIbFe-0.5,4703.0,3.9,3.6,HD61935_plots.pdf,HD61935_harps_pre-drs.vels,,HD61935_harps_pre-serval.vels,,HD61935_harps_pre_serval-mlc.vels,,115.31180208333333,-9.551130833333334
HD61986,07:40:54.3764,-26:21:48.627,G5V,,8.7,8.5,,HD61986_harps_pre-drs.vels,HD61986_harps_post-drs.vels,HD61986_harps_pre-serval.vels,HD61986_harps_post-serval.vels,HD61986_harps_pre_serval-mlc.vels,HD61986_harps_post_serval-mlc.vels,115.22656833333332,-26.3635075
HD6204,01:02:57.4204,-09:51:40.460,G3V,5770.8,8.5,8.3,HD6204_plots.pdf,HD6204_harps_pre-drs.vels,HD6204_harps_post-drs.vels,HD6204_harps_pre-serval.vels,HD6204_harps_post-serval.vels,HD6204_harps_pre_serval-mlc.vels,HD6204_harps_post_serval-mlc.vels,15.739251666666666,-9.861238888888888
HD62128,07:42:01.9775,-11:51:09.670,G3V,5813.5,7.5,7.4,HD62128_plots.pdf,HD62128_harps_pre-drs.vels,HD62128_harps_post-drs.vels,HD62128_harps_pre-serval.vels,HD62128_harps_post-serval.vels,HD62128_harps_pre_serval-mlc.vels,HD62128_harps_post_serval-mlc.vels,115.50823958333332,-11.85268611111111
HD62364,07:35:37.7744,-75:32:39.235,F7V,6158.5,7.3,7.2,HD62364_plots.pdf,HD62364_harps_pre-drs.vels,HD62364_harps_post-drs.vels,HD62364_harps_pre-serval.vels,HD62364_harps_post-serval.vels,HD62364_harps_pre_serval-mlc.vels,HD62364_harps_post_serval-mlc.vels,113.90739333333332,-75.54423194444445
HD62412,07:42:48.1524,-26:21:04.772,K1III,4953.0,5.6,5.3,HD62412_plots.pdf,HD62412_harps_pre-drs.vels,,HD62412_harps_pre-serval.vels,,HD62412_harps_pre_serval-mlc.vels,,115.70063499999999,-26.351325555555558
HD6245,01:02:49.1897,-46:23:50.317,G8III,5080.0,5.4,5.1,HD6245_plots.pdf,HD6245_harps_pre-drs.vels,,HD6245_harps_pre-serval.vels,,HD6245_harps_pre_serval-mlc.vels,,15.704957083333333,-46.39731027777778
HD62713,07:43:41.9289,-40:56:01.487,K1III,5095.6,5.2,4.8,HD62713_plots.pdf,HD62713_harps_pre-drs.vels,,HD62713_harps_pre-serval.vels,,HD62713_harps_pre_serval-mlc.vels,,115.92470374999999,-40.933746388888885
HD62816,07:45:29.2408,-10:09:38.411,F5V,6402.2,7.6,7.4,HD62816_plots.pdf,HD62816_harps_pre-drs.vels,HD62816_harps_post-drs.vels,HD62816_harps_pre-serval.vels,HD62816_harps_post-serval.vels,HD62816_harps_pre_serval-mlc.vels,HD62816_harps_post_serval-mlc.vels,116.37183666666665,-10.160669722222222
HD62847,07:43:52.0410,-46:51:08.340,G8V,,9.4,9.2,HD62847_plots.pdf,HD62847_harps_pre-drs.vels,,HD62847_harps_pre-serval.vels,,HD62847_harps_pre_serval-mlc.vels,,115.96683749999998,-46.85231666666667
HD62849,07:43:23.6146,-52:30:28.526,G6/K0(III),4960.2,9.8,9.5,HD62849_plots.pdf,HD62849_harps_pre-drs.vels,,HD62849_harps_pre-serval.vels,,HD62849_harps_pre_serval-mlc.vels,,115.84839416666665,-52.50792388888889
HD62943,07:43:29.6298,-54:14:28.661,G6/8III,5083.8,6.9,6.6,HD62943_plots.pdf,HD62943_harps_pre-drs.vels,,HD62943_harps_pre-serval.vels,,HD62943_harps_pre_serval-mlc.vels,,115.87345749999999,-54.24129472222222
HD63454,07:39:21.8536,-78:16:44.307,K3Vk:,4784.4,9.4,9.1,HD63454_plots.pdf,HD63454_harps_pre-drs.vels,,HD63454_harps_pre-serval.vels,,HD63454_harps_pre_serval-mlc.vels,,114.84105666666666,-78.27897416666667
HD63487,07:48:05.9777,-27:31:10.672,G2V,5839.0,9.2,9.0,HD63487_plots.pdf,HD63487_harps_pre-drs.vels,HD63487_harps_post-drs.vels,HD63487_harps_pre-serval.vels,HD63487_harps_post-serval.vels,HD63487_harps_pre_serval-mlc.vels,HD63487_harps_post_serval-mlc.vels,117.02490708333332,-27.51963111111111
HD6348,01:04:26.4713,-02:21:59.740,G8V,5111.2,9.2,8.9,HD6348_plots.pdf,HD6348_harps_pre-drs.vels,,HD6348_harps_pre-serval.vels,,HD6348_harps_pre_serval-mlc.vels,,16.110297083333332,-2.3665944444444444
HD63608,07:46:16.9608,-59:48:34.194,K0IV-V(k),5336.0,8.2,8.1,HD63608_plots.pdf,HD63608_harps_pre-drs.vels,HD63608_harps_post-drs.vels,HD63608_harps_pre-serval.vels,HD63608_harps_post-serval.vels,HD63608_harps_pre_serval-mlc.vels,HD63608_harps_post_serval-mlc.vels,116.57066999999999,-59.80949833333333
HD63685,07:46:23.2825,-61:25:48.534,G8IV,,7.4,7.2,HD63685_plots.pdf,HD63685_harps_pre-drs.vels,,HD63685_harps_pre-serval.vels,,HD63685_harps_pre_serval-mlc.vels,,116.59701041666666,-61.43014833333333
HD63754,07:49:45.2643,-20:12:27.476,G0V,6013.0,6.5,6.4,HD63754_plots.pdf,HD63754_harps_pre-drs.vels,HD63754_harps_post-drs.vels,HD63754_harps_pre-serval.vels,HD63754_harps_post-serval.vels,HD63754_harps_pre_serval-mlc.vels,HD63754_harps_post_serval-mlc.vels,117.43860124999998,-20.207632222222223
HD63765,07:47:49.7202,-54:15:50.919,G9V,,8.1,7.9,HD63765_plots.pdf,HD63765_harps_pre-drs.vels,HD63765_harps_post-drs.vels,HD63765_harps_pre-serval.vels,HD63765_harps_post-serval.vels,HD63765_harps_pre_serval-mlc.vels,HD63765_harps_post_serval-mlc.vels,116.95716749999998,-54.26414416666667
HD64152,07:51:43.0252,-21:10:25.172,G9III,5004.7,5.6,5.3,HD64152_plots.pdf,HD64152_harps_pre-drs.vels,HD64152_harps_post-drs.vels,HD64152_harps_pre-serval.vels,HD64152_harps_post-serval.vels,HD64152_harps_pre_serval-mlc.vels,HD64152_harps_post_serval-mlc.vels,117.92927166666665,-21.17365888888889
HD64181,07:50:42.5106,-44:34:47.815,G6III,5149.8,6.5,6.2,HD64181_plots.pdf,HD64181_harps_pre-drs.vels,,HD64181_harps_pre-serval.vels,,HD64181_harps_pre_serval-mlc.vels,,117.67712749999998,-44.579948611111114
HD6434,01:04:40.1503,-39:29:17.585,G2/3V,,7.7,7.6,HD6434_plots.pdf,,HD6434_harps_post-drs.vels,,HD6434_harps_post-serval.vels,,HD6434_harps_post_serval-mlc.vels,16.167292916666664,-39.488218055555556
HD64640,07:53:24.8445,-35:37:05.202,K1V,5174.7,9.2,9.0,HD64640_plots.pdf,HD64640_harps_pre-drs.vels,HD64640_harps_post-drs.vels,HD64640_harps_pre-serval.vels,HD64640_harps_post-serval.vels,HD64640_harps_pre_serval-mlc.vels,HD64640_harps_post_serval-mlc.vels,118.35351874999998,-35.618111666666664
HD64942,07:55:58.2270,-09:47:49.933,G3/5V,5754.0,8.3,8.2,HD64942_plots.pdf,HD64942_harps_pre-drs.vels,,HD64942_harps_pre-serval.vels,,HD64942_harps_pre_serval-mlc.vels,,118.99261249999999,-9.797203611111112
HD65114,07:54:47.9792,-49:50:10.389,G8/K1III/V,,9.4,9.1,HD65114_plots.pdf,HD65114_harps_pre-drs.vels,,HD65114_harps_pre-serval.vels,,HD65114_harps_pre_serval-mlc.vels,,118.69991333333333,-49.836219166666666
HD6512,01:06:12.6312,+13:15:09.877,G0,5842.7,8.1,8.0,HD6512_plots.pdf,HD6512_harps_pre-drs.vels,,HD6512_harps_pre-serval.vels,,HD6512_harps_pre_serval-mlc.vels,,16.552629999999997,13.25274361111111
HD6532,01:05:55.7024,-26:43:43.987,A2Vp,8383.5,8.4,8.4,HD6532_plots.pdf,HD6532_harps_pre-drs.vels,,HD6532_harps_pre-serval.vels,,HD6532_harps_pre_serval-mlc.vels,,16.48209333333333,-26.728885277777778
HD65562,07:58:52.1782,-13:18:54.796,K2+V,4967.1,8.8,8.5,HD65562_plots.pdf,HD65562_harps_pre-drs.vels,,HD65562_harps_pre-serval.vels,,HD65562_harps_pre_serval-mlc.vels,,119.71740916666666,-13.315221111111113
HD6559,01:06:07.7155,-23:59:32.948,K1III,4728.4,6.1,5.8,HD6559_plots.pdf,HD6559_harps_pre-drs.vels,,HD6559_harps_pre-serval.vels,,HD6559_harps_pre_serval-mlc.vels,,16.532147916666666,-23.992485555555557
HD65695,07:59:44.1536,-03:40:46.501,K1III,4430.0,4.9,4.5,HD65695_plots.pdf,HD65695_harps_pre-drs.vels,,HD65695_harps_pre-serval.vels,,HD65695_harps_pre_serval-mlc.vels,,119.93397333333331,-3.679583611111111
HD6569,01:06:26.1533,-14:17:47.106,K1V,5087.0,9.5,9.2,HD6569_plots.pdf,HD6569_harps_pre-drs.vels,HD6569_harps_post-drs.vels,HD6569_harps_pre-serval.vels,HD6569_harps_post-serval.vels,HD6569_harps_pre_serval-mlc.vels,HD6569_harps_post_serval-mlc.vels,16.60897208333333,-14.296418333333333
HD65949,07:57:47.6708,-60:36:34.925,B8/9,9274.7,8.4,8.3,HD65949_plots.pdf,HD65949_harps_pre-drs.vels,,HD65949_harps_pre-serval.vels,,HD65949_harps_pre_serval-mlc.vels,,119.44862833333332,-60.609701388888894
HD65982,07:59:37.6084,-43:17:56.161,G2/6+F,,8.3,8.2,HD65982_plots.pdf,HD65982_harps_pre-drs.vels,,HD65982_harps_pre-serval.vels,,HD65982_harps_pre_serval-mlc.vels,,119.90670166666666,-43.29893361111111
HD66039,07:59:58.7750,-41:42:14.743,G2V,6080.2,7.7,7.6,HD66039_plots.pdf,HD66039_harps_pre-drs.vels,HD66039_harps_post-drs.vels,HD66039_harps_pre-serval.vels,HD66039_harps_post-serval.vels,HD66039_harps_pre_serval-mlc.vels,HD66039_harps_post_serval-mlc.vels,119.99489583333332,-41.70409527777778
HD66040,07:59:14.0029,-52:09:05.546,K0V,5198.5,9.2,9.0,HD66040_plots.pdf,HD66040_harps_pre-drs.vels,HD66040_harps_post-drs.vels,HD66040_harps_pre-serval.vels,HD66040_harps_post-serval.vels,HD66040_harps_pre_serval-mlc.vels,HD66040_harps_post_serval-mlc.vels,119.80834541666665,-52.151540555555556
HD66168,07:56:09.1329,-71:59:09.110,F8V,6093.0,7.9,7.8,HD66168_plots.pdf,HD66168_harps_pre-drs.vels,,HD66168_harps_pre-serval.vels,,HD66168_harps_pre_serval-mlc.vels,,119.03805375,-71.98586388888889
HD66221,08:02:05.3629,-12:48:16.632,G6V,5604.3,8.0,7.9,HD66221_plots.pdf,HD66221_harps_pre-drs.vels,,HD66221_harps_pre-serval.vels,,HD66221_harps_pre_serval-mlc.vels,,120.52234541666665,-12.80462
HD66255,08:00:28.9609,-48:52:18.355,B9Ib,8598.7,6.1,6.1,HD66255_plots.pdf,HD66255_harps_pre-drs.vels,,HD66255_harps_pre-serval.vels,,HD66255_harps_pre_serval-mlc.vels,,120.12067041666666,-48.871765277777776
HD66340,07:59:47.5995,-59:12:43.901,G8IV,5290.0,9.2,9.0,HD66340_plots.pdf,HD66340_harps_pre-drs.vels,,HD66340_harps_pre-serval.vels,,HD66340_harps_pre_serval-mlc.vels,,119.94833124999998,-59.21219472222222
HD66428,08:03:28.6676,-01:09:45.759,G8IV(+G),5689.0,8.3,8.1,HD66428_plots.pdf,HD66428_harps_pre-drs.vels,,HD66428_harps_pre-serval.vels,,HD66428_harps_pre_serval-mlc.vels,,120.86944833333334,-1.1627108333333331
HD66552,08:04:45.3033,+18:50:31.277,B9V,9450.0,6.2,6.2,HD66552_plots.pdf,HD66552_harps_pre-drs.vels,,HD66552_harps_pre-serval.vels,,HD66552_harps_pre_serval-mlc.vels,,121.18876374999998,18.842021388888888
HD66653,08:02:26.9878,-46:20:10.700,G2V,,7.5,7.4,HD66653_plots.pdf,HD66653_harps_pre-drs.vels,HD66653_harps_post-drs.vels,HD66653_harps_pre-serval.vels,HD66653_harps_post-serval.vels,HD66653_harps_pre_serval-mlc.vels,HD66653_harps_post_serval-mlc.vels,120.61244916666666,-46.336305555555555
HD66664,08:05:04.4893,+13:07:05.591,A1V,9402.5,5.1,5.1,HD66664_plots.pdf,HD66664_harps_pre-drs.vels,,HD66664_harps_pre-serval.vels,,HD66664_harps_pre_serval-mlc.vels,,121.26870541666666,13.118219722222223
HD66740,08:04:01.3087,-26:58:23.959,F5V,6537.2,7.2,7.1,HD66740_plots.pdf,HD66740_harps_pre-drs.vels,,HD66740_harps_pre-serval.vels,,HD66740_harps_pre_serval-mlc.vels,,121.00545291666664,-26.973321944444443
HD66838,08:04:22.0951,-28:25:00.345,G8/K0V,5399.0,9.4,9.1,HD66838_plots.pdf,HD66838_harps_pre-drs.vels,HD66838_harps_post-drs.vels,HD66838_harps_pre-serval.vels,HD66838_harps_post-serval.vels,HD66838_harps_pre_serval-mlc.vels,HD66838_harps_post_serval-mlc.vels,121.09206291666665,-28.4167625
HD6718,01:07:48.6629,-08:14:01.330,G5V,5730.0,8.4,8.3,HD6718_plots.pdf,HD6718_harps_pre-drs.vels,HD6718_harps_post-drs.vels,HD6718_harps_pre-serval.vels,HD6718_harps_post-serval.vels,HD6718_harps_pre_serval-mlc.vels,HD6718_harps_post_serval-mlc.vels,16.952762083333333,-8.233702777777777
HD67200,08:01:32.5396,-70:01:25.964,F6V,6100.0,7.7,7.6,HD67200_plots.pdf,HD67200_harps_pre-drs.vels,HD67200_harps_post-drs.vels,HD67200_harps_pre-serval.vels,HD67200_harps_post-serval.vels,HD67200_harps_pre_serval-mlc.vels,HD67200_harps_post_serval-mlc.vels,120.38558166666668,-70.02387888888889
HD6735,01:07:32.0518,-41:44:48.127,F9V,6096.5,7.0,6.9,HD6735_plots.pdf,HD6735_harps_pre-drs.vels,,HD6735_harps_pre-serval.vels,,HD6735_harps_pre_serval-mlc.vels,,16.883549166666665,-41.746701944444446
HD67523,08:07:32.6488,-24:18:15.567,F5IIkF2IImF5II,4995.0,2.8,2.7,,HD67523_harps_pre-drs.vels,,HD67523_harps_pre-serval.vels,,HD67523_harps_pre_serval-mlc.vels,,121.88603666666667,-24.304324166666667
HD67578,08:07:25.3785,-32:00:32.566,G2V,5846.8,8.6,8.4,HD67578_plots.pdf,HD67578_harps_pre-drs.vels,,HD67578_harps_pre-serval.vels,,HD67578_harps_pre_serval-mlc.vels,,121.85574375,-32.00904611111111
HD6790,01:07:57.6157,-37:53:53.371,G0V,5934.5,9.3,9.2,HD6790_plots.pdf,HD6790_harps_pre-drs.vels,HD6790_harps_post-drs.vels,HD6790_harps_pre-serval.vels,HD6790_harps_post-serval.vels,HD6790_harps_pre_serval-mlc.vels,HD6790_harps_post_serval-mlc.vels,16.990065416666667,-37.898158611111114
HD6793,01:07:18.6652,-61:46:31.043,G5III,5114.5,5.3,5.1,HD6793_plots.pdf,HD6793_harps_pre-drs.vels,,HD6793_harps_pre-serval.vels,,HD6793_harps_pre_serval-mlc.vels,,16.827771666666667,-61.77528972222222
HD67959,08:10:58.8845,+14:37:46.109,A1V,9300.0,6.2,6.2,HD67959_plots.pdf,HD67959_harps_pre-drs.vels,,HD67959_harps_pre-serval.vels,,HD67959_harps_pre_serval-mlc.vels,,122.7453520833333,14.629474722222223
HD67990,08:06:36.1524,-63:30:57.283,K0III,4980.0,6.7,6.4,HD67990_plots.pdf,HD67990_harps_pre-drs.vels,,HD67990_harps_pre-serval.vels,,HD67990_harps_pre_serval-mlc.vels,,121.65063499999997,-63.51591194444445
HD67,00:05:28.4522,-61:13:33.074,G5V,5740.5,8.8,8.6,HD67_plots.pdf,HD67_harps_pre-drs.vels,,HD67_harps_pre-serval.vels,,HD67_harps_pre_serval-mlc.vels,,1.3685508333333332,-61.22585388888889
HD68089,08:09:05.0362,-42:04:28.459,G3V(w),,9.6,9.4,HD68089_plots.pdf,HD68089_harps_pre-drs.vels,,HD68089_harps_pre-serval.vels,,HD68089_harps_pre_serval-mlc.vels,,122.27098416666665,-42.07457194444445
HD68168,08:11:49.1884,+16:31:25.906,G0,,7.2,7.2,HD68168_plots.pdf,HD68168_harps_pre-drs.vels,HD68168_harps_post-drs.vels,HD68168_harps_pre-serval.vels,HD68168_harps_post-serval.vels,HD68168_harps_pre_serval-mlc.vels,HD68168_harps_post_serval-mlc.vels,122.95495166666666,16.523862777777776
HD68284,08:11:49.5874,+04:16:28.328,F7/8V,5912.5,7.8,7.6,HD68284_plots.pdf,HD68284_harps_pre-drs.vels,,HD68284_harps_pre-serval.vels,,HD68284_harps_pre_serval-mlc.vels,,122.95661416666665,4.2745355555555555
HD68287,08:11:33.6481,-06:00:56.825,F7/8V,6173.5,7.9,7.8,HD68287_plots.pdf,HD68287_harps_pre-drs.vels,,HD68287_harps_pre-serval.vels,,HD68287_harps_pre_serval-mlc.vels,,122.89020041666664,-6.0157847222222225
HD68402,08:05:23.6912,-74:24:37.486,G5IV/V,5850.5,9.1,9.0,HD68402_plots.pdf,HD68402_harps_pre-drs.vels,,HD68402_harps_pre-serval.vels,,HD68402_harps_pre_serval-mlc.vels,,121.34871333333334,-74.41041277777778
HD68607,08:11:09.6834,-46:17:50.623,K2V,5199.0,8.8,8.6,HD68607_plots.pdf,HD68607_harps_pre-drs.vels,,HD68607_harps_pre-serval.vels,,HD68607_harps_pre_serval-mlc.vels,,122.79034749999998,-46.297395277777774
HD68694,08:11:44.0860,-44:02:01.595,G3V,5787.0,9.2,9.0,HD68694_plots.pdf,HD68694_harps_pre-drs.vels,,HD68694_harps_pre-serval.vels,,HD68694_harps_pre_serval-mlc.vels,,122.93369166666665,-44.03377638888889
HD68860,08:13:04.2157,-34:34:42.691,F8Iab,3955.0,6.7,6.6,HD68860_plots.pdf,HD68860_harps_pre-drs.vels,,HD68860_harps_pre-serval.vels,,HD68860_harps_pre_serval-mlc.vels,,123.26756541666666,-34.57852527777778
HD68978,08:13:34.4987,-31:44:07.381,G0.5V,,6.8,6.6,,HD68978_harps_pre-drs.vels,HD68978_harps_post-drs.vels,HD68978_harps_pre-serval.vels,HD68978_harps_post-serval.vels,HD68978_harps_pre_serval-mlc.vels,HD68978_harps_post_serval-mlc.vels,123.39374458333333,-31.73538361111111
HD69013,08:14:28.9690,-15:46:31.484,ApEuSr,6951.4,9.6,9.5,HD69013_plots.pdf,HD69013_harps_pre-drs.vels,,HD69013_harps_pre-serval.vels,,HD69013_harps_pre_serval-mlc.vels,,123.62070416666664,-15.775412222222222
HD69247,08:15:45.1192,-10:26:54.425,K2V,4818.2,9.3,8.9,HD69247_plots.pdf,HD69247_harps_pre-drs.vels,,HD69247_harps_pre-serval.vels,,HD69247_harps_pre_serval-mlc.vels,,123.93799666666665,-10.44845138888889
HD69611,08:17:29.3479,-03:59:22.619,G0V,,7.7,7.6,,HD69611_harps_pre-drs.vels,HD69611_harps_post-drs.vels,HD69611_harps_pre-serval.vels,HD69611_harps_post-serval.vels,HD69611_harps_pre_serval-mlc.vels,HD69611_harps_post_serval-mlc.vels,124.37228291666663,-3.989616388888889
HD69655,08:15:25.2141,-52:03:37.072,G1V,5956.7,6.6,6.5,HD69655_plots.pdf,HD69655_harps_pre-drs.vels,,HD69655_harps_pre-serval.vels,,HD69655_harps_pre_serval-mlc.vels,,123.85505875,-52.06029777777778
HD69721,08:18:01.6656,-04:01:08.535,K0V,5366.0,8.7,8.6,HD69721_plots.pdf,HD69721_harps_pre-drs.vels,,HD69721_harps_pre-serval.vels,,HD69721_harps_pre_serval-mlc.vels,,124.50694,-4.0190375
HD6980,01:09:34.1924,-46:15:56.074,G3V,5535.5,8.6,8.4,HD6980_plots.pdf,HD6980_harps_pre-drs.vels,HD6980_harps_post-drs.vels,HD6980_harps_pre-serval.vels,HD6980_harps_post-serval.vels,HD6980_harps_pre_serval-mlc.vels,HD6980_harps_post_serval-mlc.vels,17.39246833333333,-46.26557611111111
HD70569,08:23:21.8431,+18:19:55.785,A9V,8018.7,5.9,5.9,HD70569_plots.pdf,HD70569_harps_pre-drs.vels,,HD70569_harps_pre-serval.vels,,HD70569_harps_pre_serval-mlc.vels,,125.84101291666666,18.3321625
HD70642,08:21:28.1371,-39:42:19.480,G6VCN+0.5,,7.2,7.0,HD70642_plots.pdf,HD70642_harps_pre-drs.vels,,HD70642_harps_pre-serval.vels,,HD70642_harps_pre_serval-mlc.vels,,125.36723791666664,-39.70541111111111
